distractor_type,pool_size,tasks,repeats,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,top1_error_rate,hit10_miss_rate,total_fallback_distractors,rows_with_fallback,mean_fallback_distractors,mean_hard_negative_purity,n,top1_accuracy_std_across_queries,hit@3_std_across_queries,hit@5_std_across_queries,hit@10_std_across_queries,recall@3_std_across_queries,recall@5_std_across_queries,recall@10_std_across_queries,mrr@10_std_across_queries,ndcg@10_std_across_queries
bm25_hard,50,87,1,0.39080459770114945,0.5747126436781609,0.6551724137931034,0.6896551724137931,0.3293377120963328,0.3977285166940339,0.47282430213464693,0.495338441890166,0.40231807200231984,0.6091954022988506,0.31034482758620685,0,0,0,1.0,87,0.4879306960181868,0.49438650960015096,0.47531202593414557,0.4626347539654737,0.36313680152842687,0.3860779820266195,0.39509687332065335,0.4325908706079526,0.3427508332199728
bm25_hard,100,87,1,0.42528735632183906,0.5632183908045977,0.632183908045977,0.6781609195402298,0.32646414887794195,0.3977285166940339,0.47638204707170223,0.5121966794380588,0.41112595574574223,0.5747126436781609,0.32183908045977017,0,0,0,1.0,87,0.49438650960015096,0.49598733357221647,0.4822109646759317,0.4671816421356684,0.3638624249931002,0.38998642774481174,0.4078596516580455,0.44571485026037433,0.35440975900251737
bm25_hard,500,87,1,0.42528735632183906,0.5632183908045977,0.6436781609195402,0.7011494252873564,0.3318281335522715,0.40309250136836344,0.47714833059660644,0.5144636015325671,0.4207058520298347,0.5747126436781609,0.29885057471264365,0,0,0,1.0,87,0.49438650960015096,0.49598733357221647,0.47891187714941746,0.45775420118942245,0.3683280615038709,0.388487854658826,0.3952294331998557,0.4422770303056031,0.3624130799890083
bm25_hard,1000,87,1,0.41379310344827586,0.5747126436781609,0.632183908045977,0.7126436781609196,0.34849480021893814,0.4101806239737274,0.4755062944718117,0.5085066593687283,0.4185107532558082,0.5862068965517242,0.28735632183908044,0,0,0,1.0,87,0.4925123054167483,0.49438650960015096,0.4822109646759317,0.4525291881615983,0.374797382284991,0.3982342843293526,0.393296334101593,0.43716497258420944,0.36072213016893007
embedding_semantic_near,50,87,1,0.5517241379310345,0.7126436781609196,0.7816091954022989,0.8275862068965517,0.4358511220580186,0.5414066776135742,0.6159551176792556,0.6494572158365262,0.5445142560593413,0.4482758620689655,0.1724137931034483,0,0,0,1.0,87,0.4973174173053778,0.4525291881615983,0.4131540403588834,0.37773969483114905,0.368839190453294,0.38628846225771174,0.37407275218135744,0.4137410784348976,0.34435142300108734
embedding_semantic_near,100,87,1,0.5402298850574713,0.6896551724137931,0.7471264367816092,0.8045977011494253,0.41918445539135196,0.49600437876299946,0.592583470169677,0.6297254150702427,0.5221736403171525,0.45977011494252873,0.1954022988505747,0,0,0,1.0,87,0.4983789284753747,0.4626347539654737,0.4346590896825066,0.39651007610713424,0.3735967753703625,0.39190526639540824,0.3831988404587399,0.4243579434965513,0.35092085108257776
embedding_semantic_near,500,87,1,0.45977011494252873,0.6436781609195402,0.6896551724137931,0.7701149425287356,0.4034756431308155,0.4630541871921182,0.5467706622879037,0.5682904579456304,0.4741863231530596,0.5402298850574713,0.22988505747126442,0,0,0,1.0,87,0.4983789284753747,0.47891187714941746,0.4626347539654737,0.4207587406373133,0.3842452792396963,0.39972767824827454,0.3983490143243287,0.4279361834076443,0.3605688899952299
embedding_semantic_near,1000,87,1,0.45977011494252873,0.6091954022988506,0.6781609195402298,0.7586206896551724,0.38431855500821016,0.4597974822112753,0.5314449917898194,0.5576537128261266,0.46570695555479164,0.5402298850574713,0.24137931034482762,0,0,0,1.0,87,0.4983789284753747,0.4879306960181868,0.4671816421356684,0.42791978089623645,0.39053701979303984,0.4020068549994404,0.39845093518299035,0.4338933818635116,0.3657352334920684
gold_skill_near,50,87,1,0.5632183908045977,0.7701149425287356,0.8160919540229885,0.9080459770114943,0.4875752599890531,0.55519978106185,0.6788998357963875,0.6812716657544243,0.5866760158729365,0.4367816091954023,0.09195402298850575,0,0,0,1.0,87,0.49598733357221647,0.4207587406373133,0.3874091849736257,0.2889610365511847,0.3795665174500381,0.37312314812630876,0.3308542522680955,0.38520929763391376,0.32278068274007893
gold_skill_near,100,87,1,0.5632183908045977,0.7011494252873564,0.7701149425287356,0.8620689655172413,0.4415982484948002,0.5151614668856048,0.636152162014231,0.653776683087028,0.5538074908301647,0.4367816091954023,0.13793103448275867,0,0,0,1.0,87,0.49598733357221647,0.45775420118942245,0.4207587406373133,0.3448275862068966,0.38759934521990047,0.38732846825136186,0.3575113094357164,0.41298846461624455,0.34214056748908
gold_skill_near,500,87,1,0.4942528735632184,0.6551724137931034,0.7011494252873564,0.7816091954022989,0.4092227695675972,0.4812534209085933,0.5564586754241927,0.5905902207626346,0.4884035059749884,0.5057471264367817,0.2183908045977011,0,0,0,1.0,87,0.4999669694467022,0.47531202593414557,0.45775420118942245,0.4131540403588834,0.38899032521981425,0.40154648733241477,0.38687360963314693,0.4300826425403354,0.3558444366512389
gold_skill_near,1000,87,1,0.4827586206896552,0.6436781609195402,0.6896551724137931,0.7701149425287356,0.4130541871921182,0.45883962780514503,0.5362342638204707,0.5747080824667031,0.47465612597450924,0.5172413793103448,0.22988505747126442,0,0,0,1.0,87,0.49970264642032547,0.47891187714941746,0.4626347539654737,0.4207587406373133,0.39656349245548017,0.3964106603457805,0.3900424829962658,0.43445714807324526,0.3651603322479565
query_overlap,50,87,1,0.39080459770114945,0.5517241379310345,0.6436781609195402,0.735632183908046,0.3376573617952928,0.4074986316365627,0.5165024630541872,0.5020571063674512,0.4278895307469658,0.6091954022988506,0.26436781609195403,51,2,0.5862068965517241,0.987464601032817,87,0.4879306960181868,0.4973174173053778,0.47891187714941746,0.44099600214369833,0.3806240937592835,0.3852791251367225,0.3892267769808765,0.4277120393597141,0.3451890084943669
query_overlap,100,87,1,0.3793103448275862,0.5977011494252874,0.6436781609195402,0.7126436781609196,0.36696770662287903,0.423015873015873,0.4975369458128079,0.4917396460499909,0.4167448999263251,0.6206896551724138,0.28735632183908044,178,3,2.045977011494253,0.9789567472757128,87,0.48521542343000995,0.4903615863839435,0.47891187714941746,0.4525291881615983,0.38390885560094606,0.3931246152328436,0.3978285811596136,0.42625322232664536,0.3466028791777516
query_overlap,500,87,1,0.41379310344827586,0.5977011494252874,0.632183908045977,0.6896551724137931,0.3666940339354132,0.4057744937055282,0.4665024630541872,0.5089354132457581,0.4188589561251657,0.5862068965517242,0.31034482758620685,2551,9,29.32183908045977,0.941118993439174,87,0.4925123054167483,0.4903615863839435,0.4822109646759317,0.4626347539654737,0.3788155888109349,0.3891962803628183,0.4010278504860524,0.439048703702978,0.3668430632149199
query_overlap,1000,87,1,0.40229885057471265,0.5862068965517241,0.632183908045977,0.6896551724137931,0.3561576354679803,0.4009852216748768,0.46171319102353586,0.5048987411056377,0.41349420196424796,0.5977011494252873,0.31034482758620685,8351,19,95.98850574712644,0.9038302534258535,87,0.4903615863839435,0.4925123054167483,0.4822109646759317,0.4626347539654737,0.374408866184912,0.3887248548285866,0.3958888046930466,0.4353132912902935,0.36408019815047377
random,50,87,20,0.9080459770114943,0.9724137931034482,0.985632183908046,0.9919540229885058,0.7672249589490969,0.8474452654625069,0.9005418719211823,0.9411444079547527,0.8720770339667819,0.09195402298850575,0.008045977011494232,0,0,0,0.0,1740,0.2889610365511847,0.1637840287867299,0.11900160483246354,0.08933778184746227,0.27175645850956526,0.2296505846872336,0.1933382900135173,0.19156765292270794,0.19297377006494867
random,100,87,20,0.8885057471264368,0.9540229885057471,0.9729885057471265,0.9885057471264368,0.7325013683634374,0.8136795292829776,0.8675629447181171,0.9241098795840175,0.8406990964641736,0.11149425287356318,0.011494252873563204,0,0,0,0.0,1740,0.31474320397703454,0.2094352546929724,0.16211685116329067,0.1065933160401805,0.2949757249043579,0.25757123021822015,0.21950996838743675,0.22163870232634425,0.21984867744470687
random,500,87,20,0.7626436781609195,0.9057471264367816,0.9287356321839081,0.9528735632183908,0.6562205801860974,0.7262164750957855,0.7911261631089217,0.8360593413610655,0.7475839094855712,0.2373563218390805,0.047126436781609216,0,0,0,0.0,1740,0.42546245230584484,0.2921802001989429,0.2572659279731086,0.2119092629827167,0.33864209746525725,0.316585463909297,0.28541791170607944,0.30916909918401586,0.28898801384285183
random,1000,87,20,0.7166666666666667,0.8626436781609196,0.903448275862069,0.9367816091954023,0.6125054734537493,0.6848864258347017,0.7571209633278598,0.7961644772851669,0.7035682915602693,0.2833333333333333,0.06321839080459768,0,0,0,0.0,1740,0.4506168611531925,0.34422312921987014,0.2953463876601911,0.24335534896253022,0.3621433467341682,0.3416318485813188,0.31098813578861334,0.3404517771959475,0.3083056184773288
